feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,brute,5,uncalibrated,0.037,0,0
30,30,KNN,brute,5,uncalibrated,0.0374,0,0
30,30,KNN,brute,5,uncalibrated,0.0378,0.112001345845045,0.0304781787658727
30,30,KNN,brute,5,uncalibrated,0.0382,0.113651142767481,0.0396252549473578
30,30,KNN,brute,5,uncalibrated,0.0386,0.00018327605956474,0.000183276059564719
30,30,KNN,brute,5,uncalibrated,0.039,0,0
30,30,KNN,brute,5,uncalibrated,0.0394,0,0
30,30,KNN,brute,5,uncalibrated,0.0398,0,0
30,30,KNN,brute,5,uncalibrated,0.0402,0,0
30,30,KNN,brute,5,uncalibrated,0.041,0,0
30,30,KNN,brute,7,uncalibrated,0.036,0,0
30,30,KNN,brute,7,uncalibrated,0.0366,0,0
30,30,KNN,brute,7,uncalibrated,0.037,0,0
30,30,KNN,brute,7,uncalibrated,0.0374,0,0
30,30,KNN,brute,7,uncalibrated,0.0378,0.110364291072759,0.0300931710727233
30,30,KNN,brute,7,uncalibrated,0.0382,0.109634724015568,0.0388604000912308
30,30,KNN,brute,7,uncalibrated,0.0386,0.000374032774621887,0.000374032774621876
30,30,KNN,brute,7,uncalibrated,0.039,0,0
30,30,KNN,brute,7,uncalibrated,0.0394,0,0
30,30,KNN,brute,7,uncalibrated,0.0398,0,0
30,30,KNN,brute,7,uncalibrated,0.0402,0,0
30,30,KNN,brute,7,uncalibrated,0.041,0,0
30,30,KNN,brute,9,uncalibrated,0.036,0,0
30,30,KNN,brute,9,uncalibrated,0.0366,0,0
30,30,KNN,brute,9,uncalibrated,0.037,0,0
30,30,KNN,brute,9,uncalibrated,0.0374,0,0
30,30,KNN,brute,9,uncalibrated,0.0378,0.110533857653215,0.0299645022902477
30,30,KNN,brute,9,uncalibrated,0.0382,0.1081365813931,0.0385128810096818
30,30,KNN,brute,9,uncalibrated,0.0386,0.000226266740203349,0.000226266740203357
30,30,KNN,brute,9,uncalibrated,0.039,0,0
30,30,KNN,brute,9,uncalibrated,0.0394,0,0
30,30,KNN,brute,9,uncalibrated,0.0398,0,0
30,30,KNN,brute,9,uncalibrated,0.0402,0,0
30,30,KNN,brute,9,uncalibrated,0.041,0,0
30,30,KNN,brute,11,uncalibrated,0.036,0,0
30,30,KNN,brute,11,uncalibrated,0.0366,0,0
30,30,KNN,brute,11,uncalibrated,0.037,0,0
30,30,KNN,brute,11,uncalibrated,0.0374,8.75472755287855E-06,8.75472755287855E-06
30,30,KNN,brute,11,uncalibrated,0.0378,0.110859754042198,0.0298701459756015
30,30,KNN,brute,11,uncalibrated,0.0382,0.105415479533848,0.0382418361661053
30,30,KNN,brute,11,uncalibrated,0.0386,0.000236668465347011,0.000236668465347004
30,30,KNN,brute,11,uncalibrated,0.039,0,0
30,30,KNN,brute,11,uncalibrated,0.0394,0,0
30,30,KNN,brute,11,uncalibrated,0.0398,0,0
30,30,KNN,brute,11,uncalibrated,0.0402,0,0
30,30,KNN,brute,11,uncalibrated,0.041,0,0
30,30,KNN,brute,13,uncalibrated,0.036,0,0
30,30,KNN,brute,13,uncalibrated,0.0366,0,0
30,30,KNN,brute,13,uncalibrated,0.037,0,0
30,30,KNN,brute,13,uncalibrated,0.0374,2.50727108614981E-05,2.50727108614983E-05
30,30,KNN,brute,13,uncalibrated,0.0378,0.110440532234614,0.0296876146060175
30,30,KNN,brute,13,uncalibrated,0.0382,0.103036708014529,0.0375553808055417
30,30,KNN,brute,13,uncalibrated,0.0386,0.000169449019567981,0.000169449019567973
30,30,KNN,brute,13,uncalibrated,0.039,0,0
30,30,KNN,brute,13,uncalibrated,0.0394,0,0
30,30,KNN,brute,13,uncalibrated,0.0398,0,0
30,30,KNN,brute,13,uncalibrated,0.0402,0,0
30,30,KNN,brute,13,uncalibrated,0.041,0,0
30,30,KNN,brute,15,uncalibrated,0.036,0,0
30,30,KNN,brute,15,uncalibrated,0.0366,0,0
30,30,KNN,brute,15,uncalibrated,0.037,0,0
30,30,KNN,brute,15,uncalibrated,0.0374,4.23728813559314E-05,4.23728813559322E-05
30,30,KNN,brute,15,uncalibrated,0.0378,0.110377028672008,0.0296657401133465
30,30,KNN,brute,15,uncalibrated,0.0382,0.101389541995594,0.0372875277793414
30,30,KNN,brute,15,uncalibrated,0.0386,0.00018327605956474,0.000183276059564719
30,30,KNN,brute,15,uncalibrated,0.039,0,0
30,30,KNN,brute,15,uncalibrated,0.0394,0,0
30,30,KNN,brute,15,uncalibrated,0.0398,0,0
30,30,KNN,brute,15,uncalibrated,0.0402,0,0
30,30,KNN,brute,15,uncalibrated,0.041,0,0
30,30,KNN,brute,17,uncalibrated,0.036,0,0
30,30,KNN,brute,17,uncalibrated,0.0366,0,0
30,30,KNN,brute,17,uncalibrated,0.037,0,0
30,30,KNN,brute,17,uncalibrated,0.0374,5.86475866518089E-05,5.86475866518093E-05
30,30,KNN,brute,17,uncalibrated,0.0378,0.11100781470657,0.0296829383690787
30,30,KNN,brute,17,uncalibrated,0.0382,0.100621118699722,0.0371686445325202
30,30,KNN,brute,17,uncalibrated,0.0386,0.000142688973709564,0.000142688973709556
30,30,KNN,brute,17,uncalibrated,0.039,0,0
30,30,KNN,brute,17,uncalibrated,0.0394,0,0
30,30,KNN,brute,17,uncalibrated,0.0398,0,0
30,30,KNN,brute,17,uncalibrated,0.0402,0,0
30,30,KNN,brute,17,uncalibrated,0.041,0,0
30,30,KNN,brute,19,uncalibrated,0.036,0,0
30,30,KNN,brute,19,uncalibrated,0.0366,0,0
30,30,KNN,brute,19,uncalibrated,0.037,0,0
30,30,KNN,brute,19,uncalibrated,0.0374,7.33602516550057E-05,7.33602516550073E-05
30,30,KNN,brute,19,uncalibrated,0.0378,0.11122167147595,0.0295483082359291
30,30,KNN,brute,19,uncalibrated,0.0382,0.0994318634893444,0.036821648274852
30,30,KNN,brute,19,uncalibrated,0.0386,0.00015548003668062,0.000155480036680596
30,30,KNN,brute,19,uncalibrated,0.039,0,0
30,30,KNN,brute,19,uncalibrated,0.0394,0,0
30,30,KNN,brute,19,uncalibrated,0.0398,0,0
30,30,KNN,brute,19,uncalibrated,0.0402,0,0
30,30,KNN,brute,19,uncalibrated,0.041,0,0
30,30,KNN,brute,21,uncalibrated,0.036,0,0
30,30,KNN,brute,21,uncalibrated,0.0366,0,0
30,30,KNN,brute,21,uncalibrated,0.037,0,0
30,30,KNN,brute,21,uncalibrated,0.0374,6.47568848361188E-05,6.23382452663834E-05
30,30,KNN,brute,21,uncalibrated,0.0378,0.111940133803873,0.0295431140324017
30,30,KNN,brute,21,uncalibrated,0.0382,0.098439122944299,0.0366783243655647
30,30,KNN,brute,21,uncalibrated,0.0386,0.000210393435724803,0.000210393435724805
30,30,KNN,brute,21,uncalibrated,0.039,0,0
30,30,KNN,brute,21,uncalibrated,0.0394,0,0
30,30,KNN,brute,21,uncalibrated,0.0398,0,0
30,30,KNN,brute,21,uncalibrated,0.0402,0,0
30,30,KNN,brute,21,uncalibrated,0.041,0,0
30,30,KNN,brute,23,uncalibrated,0.036,0,0
30,30,KNN,brute,23,uncalibrated,0.0366,0,0
30,30,KNN,brute,23,uncalibrated,0.037,0,0
30,30,KNN,brute,23,uncalibrated,0.0374,7.59843563869658E-05,7.39525430928924E-05
30,30,KNN,brute,23,uncalibrated,0.0378,0.111882734935378,0.0294620928504821
30,30,KNN,brute,23,uncalibrated,0.0382,0.0977142418726944,0.0365858641666907
30,30,KNN,brute,23,uncalibrated,0.0386,0.000175394149630682,0.000175394149630698
30,30,KNN,brute,23,uncalibrated,0.039,0,0
30,30,KNN,brute,23,uncalibrated,0.0394,0,0
30,30,KNN,brute,23,uncalibrated,0.0398,0,0
30,30,KNN,brute,23,uncalibrated,0.0402,0,0
30,30,KNN,brute,23,uncalibrated,0.041,0,0
30,30,KNN,brute,25,uncalibrated,0.036,0,0
30,30,KNN,brute,25,uncalibrated,0.0366,0,0
30,30,KNN,brute,25,uncalibrated,0.037,0,0
30,30,KNN,brute,25,uncalibrated,0.0374,8.63201039377374E-05,8.45909339023673E-05
30,30,KNN,brute,25,uncalibrated,0.0378,0.112323914450648,0.0293301953959354
30,30,KNN,brute,25,uncalibrated,0.0382,0.0967986847589006,0.0365425280942123
30,30,KNN,brute,25,uncalibrated,0.0386,0.000148453608247441,0.000148453608247423
30,30,KNN,brute,25,uncalibrated,0.039,0,0
30,30,KNN,brute,25,uncalibrated,0.0394,0,0
30,30,KNN,brute,25,uncalibrated,0.0398,0,0
30,30,KNN,brute,25,uncalibrated,0.0402,0,0
30,30,KNN,brute,25,uncalibrated,0.041,0,0
30,30,KNN,brute,27,uncalibrated,0.036,0,0
30,30,KNN,brute,27,uncalibrated,0.0366,0,0
30,30,KNN,brute,27,uncalibrated,0.037,0,0
30,30,KNN,brute,27,uncalibrated,0.0374,0.000120449865809398,0.000118955667557382
30,30,KNN,brute,27,uncalibrated,0.0378,0.112849212443931,0.0293730814357311
30,30,KNN,brute,27,uncalibrated,0.0382,0.0960674601016627,0.036343713294989
30,30,KNN,brute,27,uncalibrated,0.0386,0.000127275041364381,0.000127275041364389
30,30,KNN,brute,27,uncalibrated,0.039,0,0
30,30,KNN,brute,27,uncalibrated,0.0394,0,0
30,30,KNN,brute,27,uncalibrated,0.0398,0,0
30,30,KNN,brute,27,uncalibrated,0.0402,0,0
30,30,KNN,brute,27,uncalibrated,0.041,0,0
30,30,KNN,brute,29,uncalibrated,0.036,0,0
30,30,KNN,brute,29,uncalibrated,0.0366,0,0
30,30,KNN,brute,29,uncalibrated,0.037,0,0
30,30,KNN,brute,29,uncalibrated,0.0374,0.000132085434633366,0.000130758873965001
30,30,KNN,brute,29,uncalibrated,0.0378,0.113319890289359,0.029387079494821
30,30,KNN,brute,29,uncalibrated,0.0382,0.0958336832112602,0.0364072114453237
30,30,KNN,brute,29,uncalibrated,0.0386,0.000110325214214786,0.000110325214214791
30,30,KNN,brute,29,uncalibrated,0.039,0,0
30,30,KNN,brute,29,uncalibrated,0.0394,0,0
30,30,KNN,brute,29,uncalibrated,0.0398,0,0
30,30,KNN,brute,29,uncalibrated,0.0402,0,0
30,30,KNN,brute,29,uncalibrated,0.041,0,0
30,30,KNN,brute,31,uncalibrated,0.036,0,0
30,30,KNN,brute,31,uncalibrated,0.0366,0,0
30,30,KNN,brute,31,uncalibrated,0.037,0,0
30,30,KNN,brute,31,uncalibrated,0.0374,0.000141986285561568,0.000137527952685167
30,30,KNN,brute,31,uncalibrated,0.0378,0.113951839785548,0.0293820145082089
30,30,KNN,brute,31,uncalibrated,0.0382,0.0951257672209889,0.0361920488105939
30,30,KNN,brute,31,uncalibrated,0.0386,9.65489127519671E-05,9.65489127519657E-05
30,30,KNN,brute,31,uncalibrated,0.039,0,0
30,30,KNN,brute,31,uncalibrated,0.0394,0,0
30,30,KNN,brute,31,uncalibrated,0.0398,0,0
30,30,KNN,brute,31,uncalibrated,0.0402,0,0
30,30,KNN,brute,31,uncalibrated,0.041,0,0
30,30,KNN,brute,33,uncalibrated,0.036,0,0
30,30,KNN,brute,33,uncalibrated,0.0366,0,0
30,30,KNN,brute,33,uncalibrated,0.037,0,0
30,30,KNN,brute,33,uncalibrated,0.0374,0.000152497135803777,0.000148522353421685
30,30,KNN,brute,33,uncalibrated,0.0378,0.114207296756322,0.0293719606103039
30,30,KNN,brute,33,uncalibrated,0.0382,0.0945162649921221,0.0361078358833545
30,30,KNN,brute,33,uncalibrated,0.0386,0.000105185984598671,0.000105185984598668
30,30,KNN,brute,33,uncalibrated,0.039,0,0
30,30,KNN,brute,33,uncalibrated,0.0394,0,0
30,30,KNN,brute,33,uncalibrated,0.0398,0,0
30,30,KNN,brute,33,uncalibrated,0.0402,0,0
30,30,KNN,brute,33,uncalibrated,0.041,0,0
30,30,KNN,brute,35,uncalibrated,0.036,0,0
30,30,KNN,brute,35,uncalibrated,0.0366,0,0
30,30,KNN,brute,35,uncalibrated,0.037,0,0
30,30,KNN,brute,35,uncalibrated,0.0374,0.000132377474696915,0.000132178211662637
30,30,KNN,brute,35,uncalibrated,0.0378,0.114829318477306,0.0293554916885562
30,30,KNN,brute,35,uncalibrated,0.0382,0.0939674524213654,0.0360940219336423
30,30,KNN,brute,35,uncalibrated,0.0386,9.35081936554756E-05,9.3508193655469E-05
30,30,KNN,brute,35,uncalibrated,0.039,0,0
30,30,KNN,brute,35,uncalibrated,0.0394,0,0
30,30,KNN,brute,35,uncalibrated,0.0398,0,0
30,30,KNN,brute,35,uncalibrated,0.0402,0,0
30,30,KNN,brute,35,uncalibrated,0.041,0,0
30,30,KNN,brute,37,uncalibrated,0.036,0,0
30,30,KNN,brute,37,uncalibrated,0.0366,0,0
30,30,KNN,brute,37,uncalibrated,0.037,0,0
30,30,KNN,brute,37,uncalibrated,0.0374,0.000144466367129798,0.000137505657834703
30,30,KNN,brute,37,uncalibrated,0.0378,0.115540185619825,0.0294340629042646
30,30,KNN,brute,37,uncalibrated,0.0382,0.0935588554272791,0.036025379193466
30,30,KNN,brute,37,uncalibrated,0.0386,8.36724157983745E-05,8.36724157983561E-05
30,30,KNN,brute,37,uncalibrated,0.039,0,0
30,30,KNN,brute,37,uncalibrated,0.0394,0,0
30,30,KNN,brute,37,uncalibrated,0.0398,0,0
30,30,KNN,brute,37,uncalibrated,0.0402,0,0
30,30,KNN,brute,37,uncalibrated,0.041,0,0
30,30,KNN,brute,39,uncalibrated,0.036,0,0
30,30,KNN,brute,39,uncalibrated,0.0366,0,0
30,30,KNN,brute,39,uncalibrated,0.037,0,0
30,30,KNN,brute,39,uncalibrated,0.0374,0.000173846609013022,0.000167509263812336
30,30,KNN,brute,39,uncalibrated,0.0378,0.116055267484349,0.029409747706765
30,30,KNN,brute,39,uncalibrated,0.0382,0.0931506721705825,0.0360255993606091
30,30,KNN,brute,39,uncalibrated,0.0386,7.53106753635473E-05,7.53106753635434E-05
30,30,KNN,brute,39,uncalibrated,0.039,0,0
30,30,KNN,brute,39,uncalibrated,0.0394,0,0
30,30,KNN,brute,39,uncalibrated,0.0398,0,0
30,30,KNN,brute,39,uncalibrated,0.0402,0,0
30,30,KNN,brute,39,uncalibrated,0.041,0,0
30,30,KNN,brute,41,uncalibrated,0.036,0,0
30,30,KNN,brute,41,uncalibrated,0.0366,0,0
30,30,KNN,brute,41,uncalibrated,0.037,0,0
30,30,KNN,brute,41,uncalibrated,0.0374,0.000201958085564631,0.000191891484773999
30,30,KNN,brute,41,uncalibrated,0.0378,0.116426271985871,0.029449287153635
30,30,KNN,brute,41,uncalibrated,0.0382,0.0926554969855841,0.0359029692178492
30,30,KNN,brute,41,uncalibrated,0.0386,6.81424968637442E-05,6.81424968637416E-05
30,30,KNN,brute,41,uncalibrated,0.039,0,0
30,30,KNN,brute,41,uncalibrated,0.0394,0,0
30,30,KNN,brute,41,uncalibrated,0.0398,0,0
30,30,KNN,brute,41,uncalibrated,0.0402,0,0
30,30,KNN,brute,41,uncalibrated,0.041,0,0
30,30,KNN,brute,43,uncalibrated,0.036,0,0
30,30,KNN,brute,43,uncalibrated,0.0366,0,0
30,30,KNN,brute,43,uncalibrated,0.037,0,0
30,30,KNN,brute,43,uncalibrated,0.0374,0.000183526191221751,0.000183208375403303
30,30,KNN,brute,43,uncalibrated,0.0378,0.117027580452429,0.0294849624066116
30,30,KNN,brute,43,uncalibrated,0.0382,0.0922478065463191,0.0357778701004168
30,30,KNN,brute,43,uncalibrated,0.0386,6.19510747582218E-05,6.19510747582204E-05
30,30,KNN,brute,43,uncalibrated,0.039,0,0
30,30,KNN,brute,43,uncalibrated,0.0394,0,0
30,30,KNN,brute,43,uncalibrated,0.0398,0,0
30,30,KNN,brute,43,uncalibrated,0.0402,0,0
30,30,KNN,brute,43,uncalibrated,0.041,0,0
30,30,KNN,brute,45,uncalibrated,0.036,0,0
30,30,KNN,brute,45,uncalibrated,0.0366,0,0
30,30,KNN,brute,45,uncalibrated,0.037,0,0
30,30,KNN,brute,45,uncalibrated,0.0374,0.000208604021422641,0.000208248348599226
30,30,KNN,brute,45,uncalibrated,0.0378,0.11750778628324,0.0295254483996187
30,30,KNN,brute,45,uncalibrated,0.0382,0.0918528758099569,0.0357645806702339
30,30,KNN,brute,45,uncalibrated,0.0386,5.65666850508373E-05,5.65666850508393E-05
30,30,KNN,brute,45,uncalibrated,0.039,0,0
30,30,KNN,brute,45,uncalibrated,0.0394,0,0
30,30,KNN,brute,45,uncalibrated,0.0398,0,0
30,30,KNN,brute,45,uncalibrated,0.0402,0,0
30,30,KNN,brute,45,uncalibrated,0.041,0,0
30,30,KNN,brute,47,uncalibrated,0.036,0,0
30,30,KNN,brute,47,uncalibrated,0.0366,0,0
30,30,KNN,brute,47,uncalibrated,0.037,0,0
30,30,KNN,brute,47,uncalibrated,0.0374,0.000238355580237075,0.00023792585323166
30,30,KNN,brute,47,uncalibrated,0.0378,0.117994335813155,0.0295468135408428
30,30,KNN,brute,47,uncalibrated,0.0382,0.091517240385663,0.0356134074739387
30,30,KNN,brute,47,uncalibrated,0.0386,6.27444635789235E-05,6.27444635789131E-05
30,30,KNN,brute,47,uncalibrated,0.039,0,0
30,30,KNN,brute,47,uncalibrated,0.0394,0,0
30,30,KNN,brute,47,uncalibrated,0.0398,0,0
30,30,KNN,brute,47,uncalibrated,0.0402,0,0
30,30,KNN,brute,47,uncalibrated,0.041,0,0
30,30,KNN,brute,49,uncalibrated,0.036,0,0
30,30,KNN,brute,49,uncalibrated,0.0366,0,0
30,30,KNN,brute,49,uncalibrated,0.037,0,0
30,30,KNN,brute,49,uncalibrated,0.0374,0.00024264209058533,0.000242194012333647
30,30,KNN,brute,49,uncalibrated,0.0378,0.118405643350476,0.0295996504181547
30,30,KNN,brute,49,uncalibrated,0.0382,0.0912468492612998,0.035514620653585
30,30,KNN,brute,49,uncalibrated,0.0386,5.77269971036307E-05,5.77269971036314E-05
30,30,KNN,brute,49,uncalibrated,0.039,0,0
30,30,KNN,brute,49,uncalibrated,0.0394,0,0
30,30,KNN,brute,49,uncalibrated,0.0398,0,0
30,30,KNN,brute,49,uncalibrated,0.0402,0,0
30,30,KNN,brute,49,uncalibrated,0.041,0,0
30,30,KNN,brute,51,uncalibrated,0.036,0,0
30,30,KNN,brute,51,uncalibrated,0.0366,0,0
30,30,KNN,brute,51,uncalibrated,0.037,0,0
30,30,KNN,brute,51,uncalibrated,0.0374,0.00024707568330803,0.00024661108050088
30,30,KNN,brute,51,uncalibrated,0.0378,0.118844839493231,0.0296273012331129
30,30,KNN,brute,51,uncalibrated,0.0382,0.0909465823843157,0.0355091938448111
30,30,KNN,brute,51,uncalibrated,0.0386,5.32881661075866E-05,5.32881661075813E-05
30,30,KNN,brute,51,uncalibrated,0.039,0,0
30,30,KNN,brute,51,uncalibrated,0.0394,0,0
30,30,KNN,brute,51,uncalibrated,0.0398,0,0
30,30,KNN,brute,51,uncalibrated,0.0402,0,0
30,30,KNN,brute,51,uncalibrated,0.041,0,0
30,30,KNN,brute,61,uncalibrated,0.036,0,0
30,30,KNN,brute,61,uncalibrated,0.0366,0,0
30,30,KNN,brute,61,uncalibrated,0.037,0,0
30,30,KNN,brute,61,uncalibrated,0.0374,0.000280044099248726,0.000279493384063463
30,30,KNN,brute,61,uncalibrated,0.0378,0.120579293024437,0.0296881361272546
30,30,KNN,brute,61,uncalibrated,0.0382,0.0895948452762212,0.0353480503375279
30,30,KNN,brute,61,uncalibrated,0.0386,3.72487288486486E-05,3.72487288486479E-05
30,30,KNN,brute,61,uncalibrated,0.039,0,0
30,30,KNN,brute,61,uncalibrated,0.0394,0,0
30,30,KNN,brute,61,uncalibrated,0.0398,0,0
30,30,KNN,brute,61,uncalibrated,0.0402,0,0
30,30,KNN,brute,61,uncalibrated,0.041,0,0
30,30,KNN,brute,81,uncalibrated,0.036,0,0
30,30,KNN,brute,81,uncalibrated,0.0366,0,0
30,30,KNN,brute,81,uncalibrated,0.037,0,0
30,30,KNN,brute,81,uncalibrated,0.0374,0.000339312581329244,0.00033876140695544
30,30,KNN,brute,81,uncalibrated,0.0378,0.123081275365321,0.0297456874860388
30,30,KNN,brute,81,uncalibrated,0.0382,0.0875358543653504,0.0350254669804496
30,30,KNN,brute,81,uncalibrated,0.0386,3.92824201741992E-05,3.92824201741939E-05
30,30,KNN,brute,81,uncalibrated,0.039,0,0
30,30,KNN,brute,81,uncalibrated,0.0394,0,0
30,30,KNN,brute,81,uncalibrated,0.0398,0,0
30,30,KNN,brute,81,uncalibrated,0.0402,0,0
30,30,KNN,brute,81,uncalibrated,0.041,0,0
30,30,KNN,brute,101,uncalibrated,0.036,0,0
30,30,KNN,brute,101,uncalibrated,0.0366,0,0
30,30,KNN,brute,101,uncalibrated,0.037,0,0
30,30,KNN,brute,101,uncalibrated,0.0374,0.000444028889904176,0.000443130232263393
30,30,KNN,brute,101,uncalibrated,0.0378,0.125366689432712,0.0297465247204329
30,30,KNN,brute,101,uncalibrated,0.0382,0.0862382741038122,0.0347665508967305
30,30,KNN,brute,101,uncalibrated,0.0386,3.2451953983803E-05,3.2451953983803E-05
30,30,KNN,brute,101,uncalibrated,0.039,0,0
30,30,KNN,brute,101,uncalibrated,0.0394,0,0
30,30,KNN,brute,101,uncalibrated,0.0398,0,0
30,30,KNN,brute,101,uncalibrated,0.0402,0,0
30,30,KNN,brute,101,uncalibrated,0.041,0,0
30,30,KNN,brute,151,uncalibrated,0.036,0,0
30,30,KNN,brute,151,uncalibrated,0.0366,0,0
30,30,KNN,brute,151,uncalibrated,0.037,0,0
30,30,KNN,brute,151,uncalibrated,0.0374,0.00059034670418886,0.000588824533757697
30,30,KNN,brute,151,uncalibrated,0.0378,0.129775520398227,0.0299122488419821
30,30,KNN,brute,151,uncalibrated,0.0382,0.0835115048414781,0.0342851856755867
30,30,KNN,brute,151,uncalibrated,0.0386,1.81358979603076E-05,1.81358979603043E-05
30,30,KNN,brute,151,uncalibrated,0.039,0,0
30,30,KNN,brute,151,uncalibrated,0.0394,0,0
30,30,KNN,brute,151,uncalibrated,0.0398,0,0
30,30,KNN,brute,151,uncalibrated,0.0402,0,0
30,30,KNN,brute,151,uncalibrated,0.041,0,0
30,30,KNN,brute,201,uncalibrated,0.036,0,0
30,30,KNN,brute,201,uncalibrated,0.0366,0,0
30,30,KNN,brute,201,uncalibrated,0.037,0,0
30,30,KNN,brute,201,uncalibrated,0.0374,0.000694466238715695,0.000692649950940848
30,30,KNN,brute,201,uncalibrated,0.0378,0.132925638393298,0.0298423259775896
30,30,KNN,brute,201,uncalibrated,0.0382,0.0817930271903454,0.0340317094401954
30,30,KNN,brute,201,uncalibrated,0.0386,1.25035182093335E-05,1.25035182093329E-05
30,30,KNN,brute,201,uncalibrated,0.039,0,0
30,30,KNN,brute,201,uncalibrated,0.0394,0,0
30,30,KNN,brute,201,uncalibrated,0.0398,0,0
30,30,KNN,brute,201,uncalibrated,0.0402,0,0
30,30,KNN,brute,201,uncalibrated,0.041,0,0
20,20,KNN,auto,1,uncalibrated,0.036,0,0
20,20,KNN,auto,1,uncalibrated,0.0366,0,0
20,20,KNN,auto,1,uncalibrated,0.037,0,0
20,20,KNN,auto,1,uncalibrated,0.0374,0,0
20,20,KNN,auto,1,uncalibrated,0.0378,0.0534035452411721,0.0244965632017077
20,20,KNN,auto,1,uncalibrated,0.0382,0.195664957542713,0.0467795591182365
20,20,KNN,auto,1,uncalibrated,0.0386,0.00229095378886604,0.00228829610870203
20,20,KNN,auto,1,uncalibrated,0.039,0,0
20,20,KNN,auto,1,uncalibrated,0.0394,0,0
20,20,KNN,auto,1,uncalibrated,0.0398,0,0
20,20,KNN,auto,1,uncalibrated,0.0402,0,0
20,20,KNN,auto,1,uncalibrated,0.041,0,0
20,20,KNN,auto,3,uncalibrated,0.036,0,0
20,20,KNN,auto,3,uncalibrated,0.0366,0,0
20,20,KNN,auto,3,uncalibrated,0.037,0,0
20,20,KNN,auto,3,uncalibrated,0.0374,0,0
20,20,KNN,auto,3,uncalibrated,0.0378,0.0542475185287781,0.0245327286813638
20,20,KNN,auto,3,uncalibrated,0.0382,0.186188849504147,0.0441903807615231
20,20,KNN,auto,3,uncalibrated,0.0386,0.00229095378886604,0.00228829610870203
20,20,KNN,auto,3,uncalibrated,0.039,0,0
20,20,KNN,auto,3,uncalibrated,0.0394,0,0
20,20,KNN,auto,3,uncalibrated,0.0398,0,0
20,20,KNN,auto,3,uncalibrated,0.0402,0,0
20,20,KNN,auto,3,uncalibrated,0.041,0,0
20,20,KNN,auto,5,uncalibrated,0.036,0,0
20,20,KNN,auto,5,uncalibrated,0.0366,0,0
20,20,KNN,auto,5,uncalibrated,0.037,0,0
20,20,KNN,auto,5,uncalibrated,0.0374,0,0
20,20,KNN,auto,5,uncalibrated,0.0378,0.0525565186109384,0.0236810180446367
20,20,KNN,auto,5,uncalibrated,0.0382,0.183252233556201,0.0430300601202405
20,20,KNN,auto,5,uncalibrated,0.0386,0.00229095378886604,0.00228829610870203
20,20,KNN,auto,5,uncalibrated,0.039,0,0
20,20,KNN,auto,5,uncalibrated,0.0394,0,0
20,20,KNN,auto,5,uncalibrated,0.0398,0,0
20,20,KNN,auto,5,uncalibrated,0.0402,0,0
20,20,KNN,auto,5,uncalibrated,0.041,0,0
20,20,KNN,auto,7,uncalibrated,0.036,0,0
20,20,KNN,auto,7,uncalibrated,0.0366,0,0
20,20,KNN,auto,7,uncalibrated,0.037,0,0
20,20,KNN,auto,7,uncalibrated,0.0374,0,0
20,20,KNN,auto,7,uncalibrated,0.0378,0.0526580151416013,0.0236934909103456
20,20,KNN,auto,7,uncalibrated,0.0382,0.179743233233643,0.0417366978855671
20,20,KNN,auto,7,uncalibrated,0.0386,0.00172990375713116,0.00172800541415692
20,20,KNN,auto,7,uncalibrated,0.039,0,0
20,20,KNN,auto,7,uncalibrated,0.0394,0,0
20,20,KNN,auto,7,uncalibrated,0.0398,0,0
20,20,KNN,auto,7,uncalibrated,0.0402,0,0
20,20,KNN,auto,7,uncalibrated,0.041,0,0
20,20,KNN,auto,9,uncalibrated,0.036,0,0
20,20,KNN,auto,9,uncalibrated,0.0366,0,0
20,20,KNN,auto,9,uncalibrated,0.037,0,0
20,20,KNN,auto,9,uncalibrated,0.0374,0,0
20,20,KNN,auto,9,uncalibrated,0.0378,0.0528181980429288,0.0238182331431204
20,20,KNN,auto,9,uncalibrated,0.0382,0.17805714207738,0.042372745490982
20,20,KNN,auto,9,uncalibrated,0.0386,0.00165457756727527,0.00165280578049907
20,20,KNN,auto,9,uncalibrated,0.039,0,0
20,20,KNN,auto,9,uncalibrated,0.0394,0,0
20,20,KNN,auto,9,uncalibrated,0.0398,0,0
20,20,KNN,auto,9,uncalibrated,0.0402,0,0
20,20,KNN,auto,9,uncalibrated,0.041,0,0
20,20,KNN,auto,11,uncalibrated,0.036,0,0
20,20,KNN,auto,11,uncalibrated,0.0366,0,0
20,20,KNN,auto,11,uncalibrated,0.037,0,0
20,20,KNN,auto,11,uncalibrated,0.0374,0,0
20,20,KNN,auto,11,uncalibrated,0.0378,0.0526107703851649,0.0236268683344992
20,20,KNN,auto,11,uncalibrated,0.0382,0.176353459091845,0.0419281703903675
20,20,KNN,auto,11,uncalibrated,0.0386,0.00175134885760921,0.00174941599930822
20,20,KNN,auto,11,uncalibrated,0.039,0,0
20,20,KNN,auto,11,uncalibrated,0.0394,0,0
20,20,KNN,auto,11,uncalibrated,0.0398,0,0
20,20,KNN,auto,11,uncalibrated,0.0402,0,0
20,20,KNN,auto,11,uncalibrated,0.041,0,0
20,20,KNN,auto,13,uncalibrated,0.036,0,0
20,20,KNN,auto,13,uncalibrated,0.0366,0,0
20,20,KNN,auto,13,uncalibrated,0.037,0,0
